Region,2020-2025,2025-2030,2030-2035,avg_growth,growth_category
National Capital Region (NCR),0.5316010464744503,0.49213840839807954,0.3957965080033654,0.4731786542919651,Low Growth
Cordillera Administrative Region (CAR),1.1012516956479645,1.1494295047730807,1.0946183627469352,1.115099854389327,High Growth
Region I (Ilocos Region),0.20100683835166944,0.22372419732930027,0.17204612856895896,0.1989257214166429,Low Growth
Region II (Cagayan Valley),0.6501924927267977,0.5935622129176643,0.4882838486330199,0.5773461847591607,Low Growth
Region III (Central Luzon),0.8359243862049892,0.8118864920957369,0.7479850783439712,0.7985986522148991,Moderate Growth
Region IV-A (CALABARZON),1.1722624293860617,1.090630296268813,0.977037078118248,1.0799766012577077,High Growth
MIMAROPA Region,0.7260942073866072,0.7592413475454807,0.7413849105551984,0.7422401551624288,Moderate Growth
Region V (Bicol Region),0.7860442610643892,0.9437310020429024,1.0400751327172886,0.92328346527486,Moderate Growth
Region VI (Western Visayas),0.52870778386791,0.6358463246310286,0.6750770946203133,0.6132104010397507,Moderate Growth
Region VII (Central Visayas),0.7911588083179266,0.834468991382642,0.8246018246731879,0.8167432081245855,Moderate Growth
Region VIII (Eastern Visayas),0.6627392945064425,0.8252889184416246,0.9177271570751433,0.8019184566744034,Moderate Growth
Region IX (Zamboanga Peninsula),0.9918796442779598,1.0875499145253098,1.1333400510205482,1.0709232032746059,High Growth
Region X (Northern Mindanao),0.8840267223702236,0.8701820925648862,0.8221252411771296,0.8587780187040798,Moderate Growth
Region XI (Davao Region),0.9395379085446853,0.9495451178540781,0.9197043590049248,0.9362624618012294,Moderate Growth
Region XII (SOCCSKSARGEN),1.029926170592299,1.0888923643692205,1.1045853278359052,1.0744679542658082,High Growth
Region XIII (Caraga),1.0016684593225467,1.1427587027886599,1.2071188659961152,1.1171820093691072,High Growth
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),1.6219165563488236,1.7145563123566854,1.7926230687950184,1.709698645833509,High Growth
